Year,Experiment,CollectionDate,Geographic.Location,Collector,Species,Accession,Plot,Plant,Treatment,Developmental.Stage,Plant.Height..cm.,Diameter..mm.,Fat.Stem.Diameter..mm.,Skinny.Stem.Diameter..mm.,Panicle.Length..cm.,Tassel.Length..cm.,Tassel.Height..cm.,Ear.Height..cm.,Leaf.Count,Collar.Number,Tiller.No.,FloweringDate,SilkingDate,SelfingDate,BR.Whorls.Emerged,BR.Whorls.in.Soil,Lodging,Notes,X
2023,BMMB,8/2/23,"Newark, DE",Irene,Maize,B73,345,2,PT,,230,23,NA,NA,,NA,N/A,118,,,NA,,,,NA,NA,,,
2023,BMMB,8/2/23,"Newark, DE",Irene,Maize,B73,345,3,PT,,230,20,NA,NA,,NA,N/A,124,,,NA,,,,NA,NA,,,
2023,BMMB,8/2/23,"Newark, DE",Irene,Maize,B73,345,4,PT,,232,25,NA,NA,,NA,N/A,118.5,,,NA,,,,NA,NA,,,
2023,BMMB,8/2/23,"Newark, DE",Irene,Maize,B73,345,5,PT,,130,23,NA,NA,,NA,N/A,122,,,NA,,,,NA,NA,,,
2023,BMMB,8/2/23,"Newark, DE",Irene,Maize,B73,345,6,PT,,225,25,NA,NA,,NA,N/A,122,,,NA,,,,NA,NA,,,
2023,BMMB,8/2/23,"Newark, DE",Irene,Maize,B73,346,1,LB,,239.5,25,NA,NA,,NA,36.5,126,,,NA,,,,NA,NA,,,
2023,BMMB,8/2/23,"Newark, DE",Irene,Maize,B73,346,2,LB,,223,25,NA,NA,,NA,38,135,,,NA,,,,NA,NA,,,
2023,BMMB,8/2/23,"Newark, DE",Irene,Maize,B73,346,3,LB,,241,20,NA,NA,,NA,33,137,,,NA,,,,NA,NA,,,
2023,BMMB,8/2/23,"Newark, DE",Irene,Maize,B73,346,4,LB,,216,20,NA,NA,,NA,54,128,,,NA,,,,NA,NA,,,
2023,BMMB,8/2/23,"Newark, DE",Irene,Maize,B73,346,5,LB,,212,26,NA,NA,,NA,56.5,124,,,NA,,,,NA,NA,,,
2023,BMMB,8/2/23,"Newark, DE",Irene,Maize,B73,346,6,LB,,224,26,NA,NA,,NA,41,136,,,NA,,,,NA,NA,,,
2023,BMMB,8/2/23,"Newark, DE",Irene,Maize,B73,348,1,ER,,187,22,NA,NA,,NA,35,N/A,,,NA,,,,NA,NA,,,
2023,BMMB,8/2/23,"Newark, DE",Irene,Maize,B73,348,2,ER,,214,24,NA,NA,,NA,41,N/A,,,NA,,,,NA,NA,,,
2023,BMMB,8/2/23,"Newark, DE",Irene,Maize,B73,348,3,ER,,222,28,NA,NA,,NA,40,N/A,,,NA,,,,NA,NA,,,
2023,BMMB,8/2/23,"Newark, DE",Irene,Maize,B73,348,4,ER,,209,30,NA,NA,,NA,47,N/A,,,NA,,,,NA,NA,,,
2023,BMMB,8/2/23,"Newark, DE",Irene,Maize,B73,348,5,ER,,209,29,NA,NA,,NA,48,N/A,,,NA,,,,NA,NA,,,
2023,BMMB,8/2/23,"Newark, DE",Irene,Maize,B73,348,6,ER,,205,25,NA,NA,,NA,41,N/A,,,NA,,,,NA,NA,,,
2023,BMMB,8/2/23,"Newark, DE",Irene,Maize,B73,352,1,DT,,209,21,NA,NA,,NA,N/A,106,,,NA,,,,NA,NA,,,
2023,BMMB,8/2/23,"Newark, DE",Irene,Maize,B73,352,2,DT,,208,22,NA,NA,,NA,N/A,N/A,,,NA,,,,NA,NA,,,
2023,BMMB,8/2/23,"Newark, DE",Irene,Maize,B73,352,3,DT,,210,17,NA,NA,,NA,N/A,114,,,NA,,,,NA,NA,,,
2023,BMMB,8/2/23,"Newark, DE",Irene,Maize,B73,352,4,DT,,195,22,NA,NA,,NA,N/A,120,,,NA,,,,NA,NA,,,
2023,BMMB,8/2/23,"Newark, DE",Irene,Maize,B73,352,5,DT,,206,21,NA,NA,,NA,N/A,106.5,,,NA,,,,NA,NA,,,
2023,BMMB,8/2/23,"Newark, DE",Irene,Maize,B73,352,6,DT,,208,24,NA,NA,,NA,N/A,113,,,NA,,,,NA,NA,,,
2023,BMMB,8/2/23,"Newark, DE",Irene,Maize,B73,354,1,DT,,217,20,NA,NA,,NA,N/A,113,,,NA,,,,NA,NA,,,
2023,BMMB,8/2/23,"Newark, DE",Irene,Maize,B73,354,2,DT,,218,18,NA,NA,,NA,N/A,130,,,NA,,,,NA,NA,,,
2023,BMMB,8/2/23,"Newark, DE",Irene,Maize,B73,354,3,DT,,206,21,NA,NA,,NA,N/A,N/A,,,NA,,,,NA,NA,,,
2023,BMMB,8/2/23,"Newark, DE",Irene,Maize,B73,354,4,DT,,222,26,NA,NA,,NA,36,125,,,NA,,,,NA,NA,,,
2023,BMMB,8/2/23,"Newark, DE",Irene,Maize,B73,354,5,DT,,204,23,NA,NA,,NA,N/A,100,,,NA,,,,NA,NA,,,
2023,BMMB,8/2/23,"Newark, DE",Irene,Maize,B73,354,6,DT,,221,20,NA,NA,,NA,N/A,120,,,NA,,,,NA,NA,,,
2023,BMMB,8/2/23,"Newark, DE",Irene,Maize,B73,355,1,LB,,199,28,NA,NA,,NA,41,96,,,NA,,,,NA,NA,,,
2023,BMMB,8/2/23,"Newark, DE",Irene,Maize,B73,355,2,LB,,204,21,NA,NA,,NA,49,128,,,NA,,,,NA,NA,,,
2023,BMMB,8/2/23,"Newark, DE",Irene,Maize,B73,355,3,LB,,224,17,NA,NA,,NA,32,120,,,NA,,,,NA,NA,,,
2023,BMMB,8/2/23,"Newark, DE",Irene,Maize,B73,355,4,LB,,225,21,NA,NA,,NA,31,119,,,NA,,,,NA,NA,,,
2023,BMMB,8/2/23,"Newark, DE",Irene,Maize,B73,355,5,LB,,213,25,NA,NA,,NA,52,134,,,NA,,,,NA,NA,,,
2023,BMMB,8/2/23,"Newark, DE",Irene,Maize,B73,355,6,LB,,201,25,NA,NA,,NA,59,123,,,NA,,,,NA,NA,,,
